ID,Nome,Data dinizio,Data di fine,Durata,Completamento,Costo,Coordinatore,Predecessori,Numero dello schema,Risorse,Assignments,Colore attività,Link Web,Note
100,Pianificazione,01/06/25,06/06/25,6,0,0,,,1,,,#000000,,
1,  Ricerca di mercato,01/06/25,03/06/25,3,0,0.0,,2,3,1.1,Project Manager,Real Estate Agent,1:0.50,3:0.50
2,  Definizione modello di business,04/06/25,05/06/25,2,0,0,,4,1.2,Project Manager,Finance Manager,1:0.60,14:0.40,
3,  Costituzione legale,04/06/25,05/06/25,2,0,0.0,,4,1.3,Legal Consultant,Finance Manager,2:0.50,14:0.50,
4,  Budget e timeline,06/06/25,06/06/25,1,0,0.0,,5,9,15,1.4,Project Manager,1:1.00,
200,Allestimento Ufficio Fisico,07/06/25,21/06/25,15,0,0,,,2,,,#000000,,
5,  Ricerca location,07/06/25,11/06/25,5,0,0,,6,2.1,Office Manager,Project Manager,4:0.80,1:0.20,
6,  Negoziazione contratto,12/06/25,14/06/25,3,0,0,,7,2.2,Legal Consultant,Office Manager,2:0.30,4:0.70,
7,  Design interni ufficio,15/06/25,18/06/25,4,0,0,,8,2.3,Interior Designer,Office Manager,5:0.70,4:0.30,
8,  Allestimento IT ufficio,19/06/25,21/06/25,3,0,0,,22,2.4,IT Specialist,Office Manager,6:0.60,4:0.40,
300,Sviluppo Sito Web,07/06/25,28/06/25,22,0,0,,,3,,,#000000,,
9,  Raccolta requisiti sito,07/06/25,09/06/25,3,0,0.0,,10,12,3.1,UI/UX Designer,IT Specialist,7:0.50,6:0.50
10,  Wireframe & design UI,10/06/25,14/06/25,5,0,0.0,,11,3.2,UI/UX Designer,7:1.00,,,
11,  Sviluppo frontend,15/06/25,21/06/25,7,0,0,,13,3.3,Frontend Developer,UI/UX Designer,8:0.80,7:0.20,
12,  Sviluppo backend,10/06/25,16/06/25,7,0,0,,13,3.4,Backend Developer,IT Specialist,9:0.70,6:0.30,
13,  Integrazione CMS,22/06/25,24/06/25,3,0,0.0,,14,18,3.5,Backend Developer,IT Specialist,9:0.50,6:0.50
14,  Test & QA sito,25/06/25,28/06/25,4,0,0.0,,19,22,3.6,QA Tester,10:1.00,,
400,Acquisizione & Listing Immobili,07/06/25,19/06/25,13,0,0,,,4,,,#000000,,
15,  Partnership proprietari,07/06/25,11/06/25,5,0,0,,16,4.1,Real Estate Agent,Project Manager,3:0.70,1:0.30,
16,  Servizio fotografico,12/06/25,16/06/25,5,0,0,,17,4.2,Real Estate Agent,Interior Designer,3:0.60,5:0.40,
17,  Caricamento annunci,17/06/25,19/06/25,3,0,0,,22,4.3,Real Estate Agent,IT Specialist,3:0.80,6:0.20,
500,Marketing & SEO,25/06/25,05/07/25,11,0,0,,,5,,,#000000,,
18,  SEO ottimizzazione,25/06/25,29/06/25,5,0,0,,20,21,5.1,SEO Specialist,Marketing Specialist,12:0.80,11:0.20
19,  Campagna social media,29/06/25,05/07/25,7,0,0,,,5.2,Social Media Manager,Marketing Specialist,13:0.80,11:0.20,
20,  Setup ads a pagamento,30/06/25,04/07/25,5,0,0,,,5.3,Marketing Specialist,Finance Manager,11:0.60,14:0.40,
21,  Creazione contenuti,30/06/25,03/07/25,4,0,0.0,,,5.4,Marketing Specialist,Social Media Manager,11:0.50,13:0.50,
600,Lancio & Operazioni,29/06/25,05/07/25,7,0,0,,,6,,,#000000,,
22,  Soft launch ufficio & sito,29/06/25,30/06/25,2,0,0.0,,23,6.1,Office Manager,IT Specialist,4:0.50,6:0.50,
23,  Raccolta feedback iniziale,01/07/25,03/07/25,3,0,0,,24,6.2,QA Tester,Project Manager,10:0.70,1:0.30,
24,  Regolazioni post-launch,04/07/25,05/07/25,2,0,0,,25,26,6.3,IT Specialist,Real Estate Agent,6:0.60,3:0.40
700,Manutenzione & Feedback,06/07/25,04/08/25,30,0,0,,,7,,,#000000,,
25,  Supporto operativo continuativo,06/07/25,04/08/25,30,0,0,,,7.1,Office Manager,IT Specialist,4:0.40,6:0.60,
26,  Analisi prestazioni & report,06/07/25,04/08/25,30,0,0.0,,,7.2,Finance Manager,SEO Specialist,14:0.50,12:0.50,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ID,ID,Nome,Ruolo predefinito,posta elettronica,Telefono,Tasso standard,Total cost,Total load,,,,,,
1,Project Manager,Default:0,,,0,0,0.07100000083446503,,,,,,,
2,Legal Consultant,Default:0,,,0,0,0.019000000357627868,,,,,,,
3,Real Estate Agent,Default:0,,,0,0,0.1120000010728836,,,,,,,
4,Office Manager,Default:0,,,0,0,215,,,,,,,
5,Interior Designer,Default:0,,,0,0,0.04799999952316284,,,,,,,
6,IT Specialist,Default:0,,,0,0,0.27700000286102294,,,,,,,
7,UI/UX Designer,Default:0,,,0,0,0.07899999976158142,,,,,,,
8,Frontend Developer,Default:0,,,0,0,0.05599999904632568,,,,,,,
9,Backend Developer,Default:0,,,0,0,0.06400000095367431,,,,,,,
10,QA Tester,Default:0,,,0,0,0.060999999046325686,,,,,,,
11,Marketing Specialist,Default:0,,,0,0,0.07399999976158142,,,,,,,
12,SEO Specialist,Default:0,,,0,0,0.19,,,,,,,
13,Social Media Manager,Default:0,,,0,0,0.07599999904632568,,,,,,,
14,Finance Manager,Default:0,,,0,0,0.18800000011920928,,,,,,,
